id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
81809,38322,SD Hiryuu no Ken,NULL,1994-06-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81879,73782,The Yukon Trail,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82040,46927,Journey to the West,NULL,1994-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82044,4288,Seal of the Pharaoh,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82253,8104,The Pirates of Dark Water,NULL,1994-05-01 00:00:00.000,1,NULL,NULL,NULL,79.1698,8
82341,38389,Nangoku Shounen Papuwa-kun,NULL,1994-03-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82343,15928,Umihara Kawase,NULL,1994-12-23 00:00:00.000,2,NULL,95.0000,1,69.9591,10
82580,14217,ADI Junior Helps with Counting : 6/7 Years,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82680,38141,Pachio-kun Special 2,NULL,1994-05-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82849,4385,NCAA Final Four Basketball,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82867,38208,Dolucky no A.League Soccer,NULL,1994-07-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82879,2487,Dragonsphere,NULL,1994-01-07 00:00:00.000,5,NULL,NULL,NULL,62.9687,10
82990,14267,Armour-Geddon II: Codename Hellfire,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83085,42456,Super International Cricket,NULL,1994-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83219,42337,Zen-Nihon Pro Wrestling: Fight da Pon!,NULL,1994-07-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83375,46319,Dunk Kids,NULL,1994-10-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83383,39670,Steel Force,NULL,1994-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83511,4343,Space Shuttle,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83532,4331,Cyberia,NULL,1994-01-12 00:00:00.000,5,NULL,NULL,NULL,73.1242,13
83542,14601,Assassin: Special Edition,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83591,18714,The Ninja Warriors,"The game is set in a dystopian future United States in the year 2035, where the nation is oppressed by the military of the tyrant president Banglar. The only hope for this broken society is a small underground resistance with plans of assassinating Banglar using three ninja androids. Development of the androids was a lengthy process and the resistance is quickly falling to Banglar's forces, so it has no choice but to dispatch the androids untested.",1994-01-28 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
